term,category
結腸,臓器
絶壁頭,症状
網膜神経節細胞,神経
総指伸筋,筋肉
総胆管,臓器
緘黙,症状
線条体,神経
縫工筋,筋肉
縮瞳,症状
繊維素性炎症,症状
羞明,症状
義肢装具士,リハビリ
義肢装具学,リハビリ
翼口蓋神経節,神経
老人看護,看護
耳鳴り,症状
聴覚過敏,症状
肉芽腫性炎症,症状
肉離れ,症状
肉離れ,筋肉
肋下筋,筋肉
肋間神経痛,整形外科
肋骨,骨
肋骨挙筋,筋肉
肋骨骨折,整形外科
肘内障,整形外科
肘筋,筋肉
肘関節,部位
肛門,臓器
肝不全,症状
肝性脳症,症状
股関節,部位
股関節インピンジメント,整形外科
肢帯,骨
肥大性肺性骨関節症,整形外科
肥満,症状
肩こり,整形外科
肩こり,症状
肩峰,骨
肩帯,骨
肩甲下筋,筋肉
肩甲挙筋,筋肉
肩甲背神経,神経
肩甲骨,骨
肩関節,部位
肩関節唇,整形外科
肺,臓器
肺循環,臓器
肺水腫,症状
肺胞,臓器
肺静脈,血管
胃,臓器
胃もたれ,症状
胃水管腔,臓器
胃腸出血,症状
胆嚢,臓器
胆嚢管,臓器
胆管,臓器
背側皮質視覚路,神経
背側骨間筋,筋肉
背外側前頭前野,神経
背心骨,骨
胞巣状軟部肉腫,整形外科
胸半棘筋,筋肉
胸回旋筋,筋肉
胸壁筋,筋肉
胸多裂筋,筋肉
胸最長筋,筋肉
胸棘筋,筋肉
胸棘間筋,筋肉
胸椎,部位
胸横突間筋,筋肉
胸横筋,筋肉
胸水,症状
胸背神経,神経
胸腕筋,筋肉
胸腸肋筋,筋肉
胸膜,臓器
胸膜炎,症状
胸郭出口症候群,整形外科
胸骨,骨
胸骨筋,筋肉
脊柱起立筋,筋肉
脊椎,骨
脊椎固定術,処置
脊髄,神経
脊髄ショック,症状
脊髄性筋萎縮症,症状
脊髄損傷,整形外科
脊髄磁場計測装置,神経
脊髄神経,神経
脊髄神経前枝,神経
脊髄神経後枝,神経
脚橋被蓋核,神経
脛足根骨,骨
脛骨,骨
脱水 (医療),症状
脳,神経
脳 (食用),神経
脳の10パーセント神話,神経
脳下垂体,神経
脳下垂体,臓器
脳下垂体前葉,臓器
脳下垂体後葉,臓器
脳内汚染,神経
脳内麻薬,神経
脳函,神経
脳函,骨
脳化指数,神経
脳回,神経
脳室周囲器官,神経
脳工学,神経
脳幹,神経
脳梁,神経
脳梁離断術,神経
脳機能イメージング,神経
脳機能マッピング,神経
脳機能局在論,神経
脳波,神経
脳浮腫,症状
脳溝,神経
脳磁図,神経
脳神経,神経
脳科学,神経
脳腸相関,神経
脳腸相関,臓器
脳葉,神経
脾静脈,血管
腋窩神経,神経
腎不全,症状
腎静脈,血管
腐敗性炎症,症状
腓腹筋,筋肉
腓骨,骨
腓骨筋,筋肉
腕橈骨筋,筋肉
腕神経叢,神経
腫れ,症状
腫瘤,症状
腫脹,症状
腰内側横突間筋,筋肉
腰回旋筋,筋肉
腰外側横突間筋,筋肉
腰多裂筋,筋肉
腰帯,骨
腰方形筋,筋肉
腰棘間筋,筋肉
腰椎,部位
腰椎症,整形外科
腰痛,整形外科
腰腸肋筋,筋肉
腰部脊柱管狭窄症,整形外科
腱板,筋肉
腱板修復術,処置
腱鞘巨細胞腫,整形外科
腱鞘線維腫,整形外科
腸,臓器
腸内細菌,臓器
腸呼吸,臓器
腸管上皮,臓器
腸粘膜,臓器
腸肋筋,筋肉
腸肝循環,臓器
腸腰筋,筋肉
腸骨,骨
腸骨尾骨筋,筋肉
腸骨筋,筋肉
腹側皮質視覚路,神経
腹側被蓋野,神経
腹側視床,神経
腹内側前頭前野,神経
腹斜筋,筋肉
腹横筋,筋肉
腹水,症状
腹直筋,筋肉
腹筋 (解剖学),筋肉
腹肋,骨
腹腔内出血,症状
腹膜刺激症状,症状
膀胱括約筋,筋肉
膀胱排尿筋,筋肉
膀胱直腸障害,整形外科
膀胱直腸障害,症状
膝神経節,神経
膝窩筋,筋肉
膝蓋前滑液包炎,整形外科
膝蓋骨,骨
膝蓋骨骨折,整形外科
膝関節,部位
膝関節筋,筋肉
膵管,臓器
膵臓,臓器
膿性カタル,症状
膿瘍,症状
膿胸,症状
臀筋,筋肉
臍帯静脈,血管
