term,category
自傷行為,症状
自律神経節,神経
自律神経系,神経
自覚症状,症状
臭鼻症,症状
舌咽神経痛,整形外科
舌骨,骨
舟状骨,骨
色素性絨毛結節性滑膜炎,整形外科
色質融解,神経
苫米地英人,神経
荷重制限,リハビリ
菱形筋,筋肉
菱脳,神経
蓄膿症,症状
薄筋,筋肉
虚血,症状
虫様筋,筋肉
虹彩異色症,症状
虹彩離断,症状
血便,症状
血尿,症状
血液脳関門,神経
血管,血管
血管中膜,血管
血管内皮,血管
血管収縮,血管
血管炎症候群,血管
血管系,血管
血管雑音,症状
血管雑音,血管
血胸,症状
血腫,症状
血色素尿症,症状
行動障害,症状
衝動性,症状
衝心性脚気,症状
表情筋,筋肉
被殻,神経
被角血管腫,血管
装具療法,整形外科
複視,症状
褥瘡,看護
視交叉上核,神経
視床,神経
視床下核,神経
視床下部,神経
視床下部,臓器
視床室傍核,神経
視空間認知障害,症状
視能訓練士,リハビリ
視野障害,症状
観血的整復固定術,処置
観血的療法,整形外科
言語聴覚士,リハビリ
言語聴覚療法,リハビリ
計算論的神経科学,神経
訪問リハビリテーション,リハビリ
診療看護師,看護
認知症,症状
語性錯語,症状
誤嚥,臓器
豆状骨,骨
貧乏揺すり,症状
貧血,症状
起居動作,リハビリ
足底,部位
足底方形筋,筋肉
足底筋,筋肉
足根中足骨,骨
足筋,筋肉
足背,部位
足関節,部位
跛行,症状
距骨,骨
跳躍伝導,神経
踵骨,骨
蹄骨,骨
軟骨,骨
軟骨膜,骨
軟骨質,骨
軸椎,骨
軸索小丘,神経
軸索誘導,神経
輸出細動脈,血管
近視,症状
連合線維,神経
遂行機能障害,症状
遅発性ジスキネジア,症状
遅発性筋肉痛,筋肉
遊びリテーション,リハビリ
運動ニューロン,神経
運動神経,神経
運動障害,症状
過敏性腸症候群,症状
過敏症,症状
過活動膀胱,症状
過食,症状
過食嘔吐,症状
遠位型ミオパチー,筋肉
遠位尿細管性アシドーシス,症状
遠視,症状
遺骨,骨
部分荷重,リハビリ
酒皶,症状
酔っ払い,症状
重迫病,整形外科
鉛管様強剛,症状
鉤状束,神経
鋸筋,筋肉
錐体筋,筋肉
錐体細胞,神経
錐体細胞 (神経細胞),神経
鎖骨,骨
鎖骨下筋,筋肉
鎖骨下静脈,血管
鎖骨骨折,整形外科
鐙骨,骨
長内転筋,筋肉
長掌筋,筋肉
長橈側手根伸筋,筋肉
長母指伸筋,筋肉
長母指外転筋,筋肉
長母指屈筋,筋肉
長母趾伸筋,筋肉
長母趾屈筋,筋肉
長背筋,筋肉
長胸神経,神経
長腓骨筋,筋肉
長趾伸筋,筋肉
長趾屈筋,筋肉
長頭症,症状
長骨,骨
門脈,血管
閃輝暗点,症状
閉鎖孔ヘルニア,症状
間欠跛行,症状
間脳,神経
間隔反復,リハビリ
関節,関節
関節包,関節
関節可動域,関節
関節可動域測定,検査
関節拘縮,症状
関節水腫,症状
関節炎,整形外科
関節症,症状
関節鏡,処置
関節鏡,関節
阻血性骨壊死,骨
除脳硬直,症状
陰嚢腫大,症状
陰茎骨,骨
陰部潰瘍,症状
陰部神経刺鍼法,神経
随意筋,筋肉
集中ケア認定看護師,看護
離断性骨軟骨炎,整形外科
離断性骨軟骨炎,症状
離断性骨軟骨炎,関節
電気療法,リハビリ
電流知覚閾値検査装置,神経
青斑核,神経
静脈,血管
静脈弁,血管
静脈注射,血管
静脈炎,血管
静脈管,血管
静脈血,血管
非セリアック・グルテン過敏症,症状
靭帯損傷,整形外科
靱帯再建術,処置
音の二次元知覚モデル,神経
音楽療法,リハビリ
音韻性錯語,症状
頚性神経筋症候群,症状
頚椎症,整形外科
頚神経叢,神経
頭半棘筋,筋肉
頭最長筋,筋肉
頭板状筋,筋肉
頭棘筋,筋肉
頭蓋骨縫合早期癒合症,症状
頭部神経痛,整形外科
頭頂葉,神経
頸前横突間筋,筋肉
頸半棘筋,筋肉
頸回旋筋,筋肉
頸多裂筋,筋肉
頸後横突間筋,筋肉
頸最長筋,筋肉
頸板状筋,筋肉
頸棘筋,筋肉
頸棘間筋,筋肉
頸椎,部位
頸肩腕症候群,整形外科
頸腸肋筋,筋肉
頸髄,神経
頸髄損傷,整形外科
頻尿,症状
頻脈,症状
顆粒細胞,神経
顕微鏡的多発血管炎,血管
類骨,骨
類鼾音,症状
風邪,症状
飛節,関節
飛蚊症,症状
食道,臓器
食道発声,リハビリ
食道腺,臓器
飢え,症状
骨,骨
骨ページェット病,整形外科
骨ページェット病,骨
骨代謝マーカー,骨
骨化,骨
骨密度,骨
骨幹,骨
骨形成不全症,整形外科
骨抜き,骨
骨格,骨
骨格筋,筋肉
骨棘,症状
骨棘,関節
骨灰,骨
骨炭,骨
骨盤,骨
骨盤底,筋肉
骨盤底筋,筋肉
骨粗鬆症,整形外科
骨粗鬆症,骨
骨細胞,骨
骨肉腫,整形外科
骨腫瘍,整形外科
骨膜反応,骨
骨膜炎,整形外科
骨角器,骨
骨軟骨腫,整形外科
骨間膜,骨
骨髄,臓器
骨髄,骨
骸骨,骨
髄腔,骨
髄膜,神経
髄膜刺激症状,症状
髄鞘,神経
髄鞘切痕,神経
髑髏と骨,骨
高カルシウム血症,症状
高次脳機能障害,症状
高血圧,症状
鯛の鯛,骨
鯨骨,骨
鳥肌胃炎,症状
麻痺,症状
黄疸,症状
黄色靭帯骨化症,整形外科
黒質,神経
鼠径ヘルニア,症状
鼻,臓器
鼻孔,臓器
鼻水,症状
鼻甲介,臓器
鼻腔,臓器
鼻血,症状
鼻詰まり,症状
