drug_name,generic_name
トピラマート錠２５ｍｇ「アメル」,トピラマート
ラモトリギン２ｍｇ錠,ラモトリギン
ラミクタール錠小児用２ｍｇ,ラモトリギン
ラモトリギン５ｍｇ錠,ラモトリギン
ラミクタール錠小児用５ｍｇ,ラモトリギン
ラモトリギン２５ｍｇ錠,ラモトリギン
ラミクタール錠２５ｍｇ,ラモトリギン
ラモトリギン錠２５ｍｇ「ＪＧ」,ラモトリギン
ラモトリギン錠２５ｍｇ「アメル」,ラモトリギン
ラモトリギン錠２５ｍｇ「サワイ」,ラモトリギン
ラモトリギン錠２５ｍｇ「トーワ」,ラモトリギン
ラモトリギン１００ｍｇ錠,ラモトリギン
ラミクタール錠１００ｍｇ,ラモトリギン
ラモトリギン錠１００ｍｇ「ＪＧ」,ラモトリギン
ラモトリギン錠１００ｍｇ「アメル」,ラモトリギン
ラモトリギン錠１００ｍｇ「サワイ」,ラモトリギン
ラモトリギン錠１００ｍｇ「トーワ」,ラモトリギン
イーケプラ錠２５０ｍｇ,レベチラセタム
レベチラセタム錠２５０ｍｇ「ＪＧ」,レベチラセタム
レベチラセタム錠２５０ｍｇ「ＶＴＲＳ」,レベチラセタム
レベチラセタム錠２５０ｍｇ「アメル」,レベチラセタム
レベチラセタム錠２５０ｍｇ「杏林」,レベチラセタム
レベチラセタム錠２５０ｍｇ「サワイ」,レベチラセタム
レベチラセタム錠２５０ｍｇ「タカタ」,レベチラセタム
レベチラセタム錠２５０ｍｇ「トーワ」,レベチラセタム
レベチラセタム錠２５０ｍｇ「日医工」,レベチラセタム
レベチラセタム錠２５０ｍｇ「日新」,レベチラセタム
レベチラセタム錠２５０ｍｇ「フェルゼン」,レベチラセタム
レベチラセタム錠２５０ｍｇ「明治」,レベチラセタム
レベチラセタム錠２５０ｍｇ「サンド」,レベチラセタム
イーケプラ錠５００ｍｇ,レベチラセタム
レベチラセタム錠５００ｍｇ「ＪＧ」,レベチラセタム
レベチラセタム錠５００ｍｇ「ＶＴＲＳ」,レベチラセタム
