disease_name,disease_kana,icd10_code
ＡＩＤＳ検査陽性,ＡＩＤＳケンサヨウセイ,R75
ＡＬＫ陰性未分化大細胞リンパ腫,ＡＬＫインセイミブンカダイサイボウリンパシュ,C847
ＡＬＫ融合遺伝子陽性非小細胞肺癌,ＡＬＫユウゴウイデンシヨウセイヒショウサイボウハイガン,C349
ＡＬＫ陽性大細胞型Ｂ細胞性リンパ腫,ＡＬＫヨウセイダイサイボウガタＢサイボウセイリンパシュ,C833
ＡＬＫ陽性未分化大細胞リンパ腫,ＡＬＫヨウセイミブンカダイサイボウリンパシュ,C846
ＡＬアミロイドーシス,ＡＬアミロイドーシス,E858
ＡＭＥ症候群,ＡＭＥショウコウグン,E270
ＡＮＣＡ関連血管炎,ＡＮＣＡカンレンケッカンエン,M318
ＡＮＣＡ関連腎炎,ＡＮＣＡカンレンジンエン,N017
ＡＴＲ−Ｘ症候群,ＡＴＲ−Ｘショウコウグン,Q870
ＡＶＭ,ＡＶＭ,Q279
Ａ型肝炎,Ａガタカンエン,B159
Ａ型外斜視,Ａガタガイシャシ,H501
Ａ型劇症肝炎,Ａガタゲキショウカンエン,B150
Ａ型食道閉鎖,Ａガタショクドウヘイサ,Q390
Ａ型内斜視,Ａガタナイシャシ,H500
Ａ群β溶血連鎖球菌感染症,Ａグンベータヨウケツレンサキュウキンカンセンショウ,A491
Ａ群溶血性連鎖球菌咽頭炎,Ａグンヨウケツセイレンサキュウキンイントウエン,J020
Ａ群連鎖球菌菌血症,Ａグンレンサキュウキンキンケツショウ,A400
Ａ群連鎖球菌敗血症,Ａグンレンサキュウキンハイケツショウ,A400
ＢＢ型ハンセン病,ＢＢガタハンセンビョウ,A303
ＢＣＧ副反応,ＢＣＧフクハンノウ,T881
ＢＣＲ−ＡＢＬ１陽性Ｂリンパ芽球性白血病,ＢＣＲ−ＡＢＬ１ヨウセイＢリンパガキュウセイハッケツビョウ,C910
ＢＣＲ−ＡＢＬ１陽性Ｂリンパ芽球性白血病／リンパ腫,ＢＣＲ−ＡＢＬ１ヨウセイＢリンパガキュウセイハッケツビョウ／リンパシュ,C910
ＢＣＲ−ＡＢＬ１陽性Ｂリンパ芽球性リンパ腫,ＢＣＲ−ＡＢＬ１ヨウセイＢリンパガキュウセイリンパシュ,C835
ＢＨ４反応性高フェニルアラニン血症,ＢＨ４ハンノウセイコウフェニルアラニンケッショウ,E701
ＢＫウイルス腎症,ＢＫウイルスジンショウ,N12
ＢＬＮＡＲ感染症,ＢＬＮＡＲカンセンショウ,A492
ＢＬ型ハンセン病,ＢＬガタハンセンビョウ,A304
